raceId,driverId,stop,lap,duration,milliseconds
847,18,5,37,761:13:55,31718
847,814,2,43,687:07:12,28630
847,16,3,45,349:33:36,14565
847,16,4,49,778:46:34,32449
847,17,3,50,546:28:48,22770
847,22,4,50,553:24:58,23059
847,67,4,50,637:27:50,26561
847,814,3,50,348:54:43,14538
847,18,6,51,569:47:02,23741
847,153,3,51,560:06:43,23338
847,813,4,51,568:48:00,23700
847,10,2,51,601:53:46,25079
847,39,2,51,708:57:36,29540
847,30,4,52,548:51:22,22869
847,13,3,52,541:26:24,22560
847,2,2,52,560:44:10,23364
847,37,2,52,576:56:10,24039
847,15,3,52,603:21:36,25140
847,816,5,52,737:08:10,30714
847,20,3,53,540:37:26,22526
847,24,3,52,798:40:19,33278
847,155,2,53,590:49:55,24618
847,808,2,53,579:28:48,24145
847,3,4,53,544:50:53,22702
847,13,4,53,680:18:14,28346
847,814,4,53,555:05:46,23129
847,813,5,61,760:49:26,31701
848,813,1,10,511:13:26,21301
848,2,1,11,530:44:10,22114
848,22,1,11,507:54:43,21163
848,155,1,11,563:48:29,23492
848,1,1,12,488:09:36,20340
848,3,1,12,505:17:46,21054
848,16,1,12,496:13:26,20676
848,17,1,13,491:09:36,20465
848,20,1,14,504:08:38,21006
848,4,1,14,515:26:53,21477
848,18,1,14,503:55:41,20997
848,30,1,14,508:49:26,21201
848,814,1,14,493:36:29,20567
848,67,1,14,511:42:14,21321
848,5,1,14,557:47:02,23241
848,39,1,14,672:43:12,28030
848,13,1,15,497:13:55,20718
848,808,1,15,530:29:46,22104
848,30,2,15,735:57:36,30665
848,24,1,15,587:00:58,24459
848,10,1,17,525:36:00,21900
848,15,1,18,559:50:53,23327
848,816,1,18,526:37:55,21943
848,153,1,19,513:23:02,21391
848,1,2,24,504:50:24,21035
848,815,1,25,526:32:10,21939
848,67,2,26,491:02:24,20460
848,5,2,26,507:01:26,21126
848,2,2,27,534:50:24,22285
848,814,2,27,499:37:55,20818
848,808,2,27,508:01:55,21168
848,17,2,28,487:39:22,20319
848,16,2,28,486:51:50,20286
848,22,2,28,510:17:17,21262
848,813,2,28,523:19:12,21805
848,4,2,29,493:13:26,20551
848,24,2,28,546:23:02,22766
848,20,2,30,490:35:02,20441
848,18,2,30,487:48:00,20325
848,3,2,30,565:07:41,23547
848,39,2,29,592:12:00,24675
848,13,2,31,612:53:17,25537
848,30,3,31,508:01:55,21168
848,155,2,33,493:04:48,20545
848,15,2,34,531:08:38,22131
848,816,2,37,534:00:00,22250
848,808,3,39,506:31:12,21105
848,2,3,40,515:19:41,21472
848,22,3,40,510:51:50,21286
848,17,3,42,488:48:29,20367
848,1,3,42,485:05:17,20212
848,153,2,42,506:28:19,21103
848,5,3,42,543:10:05,22632
848,16,3,43,504:51:50,21036
848,10,2,42,528:43:12,22030
848,814,3,44,505:39:22,21069
848,4,3,45,483:15:50,20136
848,24,3,43,533:38:24,22235
848,813,3,44,515:45:36,21490
848,3,3,45,501:30:14,20896
848,67,3,45,503:52:48,20995
848,20,3,47,487:56:38,20331
848,39,3,44,625:24:58,26059
848,13,3,48,489:41:46,20404
848,18,3,48,491:29:46,20479
849,30,1,9,725:48:29,30242
849,2,1,10,593:11:02,24716
849,18,1,11,601:40:48,25070
849,16,1,11,617:41:17,25737
849,155,1,11,682:45:07,28448
849,813,1,11,629:42:43,26238
849,67,1,11,630:41:46,26279
849,808,1,11,597:07:12,24880
849,22,1,11,620:38:24,25860
849,10,1,11,609:59:02,25416
849,24,1,11,639:25:55,26643
849,816,1,11,689:48:29,28742
849,17,1,12,575:21:07,23973
849,4,1,12,637:35:02,26566
849,1,1,12,602:24:00,25100
849,814,1,12,638:41:17,26612
849,3,1,12,593:19:41,24722
849,815,1,12,609:15:50,25386
849,153,1,12,593:15:22,24719
849,817,1,12,620:55:41,25872
849,20,1,13,595:37:55,24818
849,13,1,13,579:48:58,24159
849,30,2,16,762:01:26,31751
849,155,2,20,757:13:26,31551
849,1,2,24,577:33:36,24065
849,814,2,24,1086:59:02,45291
849,813,2,24,582:31:41,24272
849,16,2,25,577:50:53,24077
849,67,2,25,590:52:48,24620
849,17,2,26,611:45:36,25490
849,18,2,26,582:53:17,24287
849,13,2,26,574:17:46,23929
849,814,3,26,755:18:14,31471
849,20,2,27,757:23:31,31558
849,4,2,27,575:22:34,23974
849,816,2,28,610:16:19,25428
849,817,2,28,646:36:29,26942
849,3,2,30,585:34:34,24399
849,2,2,30,586:24:58,24434
849,10,2,30,599:00:58,24959
849,153,2,31,578:16:48,24095
849,30,3,31,591:37:26,24651
849,22,2,31,574:55:12,23955
849,815,2,32,614:51:22,25619
849,24,2,31,612:07:12,25505
849,813,3,35,572:51:22,23869
849,20,3,36,555:17:17,23137
849,1,3,37,560:09:36,23340
849,17,3,38,570:50:24,23785
849,808,2,38,580:07:41,24172
849,4,3,39,563:22:34,23474
849,18,3,39,559:00:29,23292
849,16,3,40,653:45:36,27240
849,13,3,41,557:42:43,23238
850,815,1,8,653:55:41,27247
850,67,1,10,655:13:26,27301
850,812,1,10,765:05:46,31879
850,17,1,14,490:33:36,20440
850,3,1,14,488:21:07,20348
850,30,1,15,498:25:55,20768
850,813,1,15,518:25:26,21601
850,1,1,16,503:34:05,20982
850,4,1,16,490:19:12,20430
850,20,1,16,489:27:22,20394
850,13,1,17,488:15:22,20344
850,155,1,20,501:10:05,20882
850,24,1,20,529:09:07,22048
850,817,1,21,535:39:22,22319
850,16,1,22,500:08:10,20839
850,10,1,22,534:02:53,22252
850,808,1,23,514:46:34,21449
850,153,1,23,505:29:17,21062
850,814,1,23,568:13:26,23676
850,18,1,24,502:50:53,20952
850,816,1,24,498:17:17,20762
850,5,1,26,530:06:43,22088
850,17,2,30,511:10:34,21299
850,812,2,28,535:56:38,22331
850,1,2,31,491:54:14,20496
850,4,2,32,480:50:24,20035
850,813,2,35,505:22:05,21057
850,3,2,36,503:24:00,20975
850,67,2,36,502:53:46,20954
850,30,2,37,487:10:34,20299
850,20,2,40,486:34:34,20274
850,13,2,41,484:26:24,20185
850,815,2,41,519:28:48,21645
850,153,2,43,520:32:10,21689
850,808,2,46,493:43:41,20572
850,16,2,48,501:05:46,20879
850,155,2,48,510:24:29,21267
850,10,2,48,510:02:53,21252
850,1,3,51,489:40:19,20403
850,816,2,49,566:06:43,23588
850,817,2,49,577:16:19,24053
850,5,2,50,508:12:00,21175
850,814,2,51,540:50:24,22535
850,4,3,53,479:24:00,19975
850,3,3,53,481:07:41,20047
850,812,3,51,538:59:31,22458
850,17,3,56,487:46:34,20324
850,30,3,56,478:19:12,19930
850,13,3,59,525:40:19,21903
850,20,3,59,482:38:24,20110
851,17,1,10,500:29:46,20854
851,13,1,10,535:01:55,22293
851,808,1,10,612:46:05,25532
851,22,1,10,543:21:36,22640
851,18,1,11,522:51:50,21786
851,814,1,11,534:17:17,22262
851,813,1,11,561:31:41,23397
851,2,1,11,512:54:14,21371
851,10,1,11,533:19:41,22222
851,816,1,11,608:05:17,25337
851,1,1,12,525:07:12,21880
851,20,1,12,496:33:36,20690
